26 12
248,248,248 253,253,253 197,197,197 251,251,251 249,249,249 240,240,240 251,251,251 188,188,188 253,253,253 255,255,255 255,255,255 255,255,255 252,252,252 237,237,237 247,247,247 255,255,255 188,188,188 210,210,210 193,193,193 183,183,183 198,198,198 244,244,244 255,255,255 255,255,255 244,244,244 253,253,253
245,245,245 252,252,252 251,251,251 255,255,255 251,251,251 252,252,252 255,255,255 251,251,251 247,247,247 255,255,255 252,252,252 192,192,192 251,251,251 255,255,255 255,255,255 191,191,191 255,255,255 255,255,255 244,244,244 247,247,247 244,244,244 245,245,245 251,251,251 188,188,188 255,255,255 255,255,255
248,248,248 254,254,254 189,189,189 253,253,253 254,254,254 254,254,254 255,255,255 193,193,193 245,245,245 254,254,254 244,244,244 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 195,195,195 235,235,235 249,249,249 255,255,255 191,191,191 240,240,240 254,254,254 255,255,255 243,243,243 254,254,254
253,253,253 255,255,255 255,255,255 255,255,255 250,250,250 251,251,251 255,255,255 253,253,253 249,249,249 253,253,253 252,252,252 194,194,194 249,249,249 247,247,247 250,250,250 203,203,203 249,249,249 253,253,253 242,242,242 255,255,255 255,255,255 255,255,255 255,255,255 192,192,192 201,201,201 186,186,186
249,249,249 255,255,255 187,187,187 255,255,255 250,250,250 255,255,255 252,252,252 179,179,179 200,200,200 209,209,209 179,179,179 197,197,197 179,179,179 185,185,185 199,199,199 191,191,191 192,192,192 199,199,199 197,197,197 187,187,187 186,186,186 197,197,197 185,185,185 195,195,195 182,182,182 195,195,195
251,251,251 255,255,255 251,251,251 255,255,255 252,252,252 255,255,255 249,249,249 254,254,254 255,255,255 255,255,255 252,252,252 178,178,178 208,208,208 186,186,186 206,206,206 169,169,169 194,194,194 200,200,200 183,183,183 195,195,195 186,186,186 183,183,183 187,187,187 193,193,193 247,247,247 255,255,255
246,246,246 255,255,255 197,197,197 253,253,253 255,255,255 253,253,253 255,255,255 168,168,168 199,199,199 255,255,255 255,255,255 255,255,255 246,246,246 255,255,255 237,237,237 255,255,255 247,247,247 255,255,255 255,255,255 248,248,248 255,255,255 246,246,246 254,254,254 255,255,255 253,253,253 191,191,191
241,241,241 252,252,252 254,254,254 255,255,255 243,243,243 255,255,255 250,250,250 253,253,253 255,255,255 250,250,250 245,245,245 172,172,172 255,255,255 246,246,246 192,192,192 255,255,255 251,251,251 249,249,249 255,255,255 250,250,250 181,181,181 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255
255,255,255 248,248,248 185,185,185 241,241,241 237,237,237 244,244,244 255,255,255 211,211,211 183,183,183 239,239,239 255,255,255 245,245,245 255,255,255 233,233,233 244,244,244 254,254,254 241,241,241 246,246,246 247,247,247 255,255,255 236,236,236 255,255,255 245,245,245 252,252,252 255,255,255 183,183,183
253,253,253 248,248,248 240,240,240 250,250,250 250,250,250 252,252,252 255,255,255 240,240,240 232,232,232 255,255,255 255,255,255 199,199,199 255,255,255 253,253,253 192,192,192 255,255,255 255,255,255 253,253,253 255,255,255 253,253,253 184,184,184 252,252,252 255,255,255 255,255,255 255,255,255 255,255,255
238,238,238 255,255,255 171,171,171 219,219,219 194,194,194 218,218,218 177,177,177 195,195,195 200,200,200 250,250,250 255,255,255 255,255,255 232,232,232 255,255,255 251,251,251 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 251,251,251 244,244,244 255,255,255 180,180,180
251,251,251 255,255,255 255,255,255 255,255,255 255,255,255 251,251,251 255,255,255 254,254,254 245,245,245 255,255,255 242,242,242 192,192,192 255,255,255 254,254,254 179,179,179 247,247,247 252,252,252 251,251,251 255,255,255 255,255,255 194,194,194 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255
